"","pmid","title","year","keyword"
"68","24822164","Secure Surgical Method for Catheter Placement via the Occipital Artery to Achieve Retrograde Superselective Intra-Arterial Chemotherapy for Advanced Oral Cancer: Alternative to Approach via the Superficial Temporal Artery.",2012,"cancer"
"69","24701216","Colorectal cancer mortality in Poland - analysis of regional variation.",2012,"cancer"
"70","24674406","Anatomic variation and dosimetric consequences of neoadjuvant hormone therapy before radiation therapy for prostate cancer.",2012,"cancer"
"71","24674405","Late toxicity after intensity modulated and image guided radiation therapy for localized prostate cancer and post-prostatectomy patients.",2012,"cancer"
"72","24674403","A moving target: Image guidance for stereotactic body radiation therapy for early-stage non-small cell lung cancer.",2012,"cancer"
"73","30895012","Genetic expression signatures of oral submucous fibrosis and oral cancer-A preliminary microarray report.",2013,"cancer"
"74","27164858","Novel therapeutic strategies targeting liver cancer stem cells.",2013,"cancer"
"75","27011606","Preoperative Scintigrams to Identify the Sentinel Lymph Node in Breast Cancer: a Waste of Time?",2013,"cancer"
"76","27011458","Prospective Randomized Study Comparing Robotic-Assisted Surgery with Traditional Laparotomy for Rectal Cancer-Indian Study.",2013,"cancer"
"77","26730043","HER2 Expression in Gastric and Gastroesophageal Cancer: Report from a Tertiary Care Hospital in North India.",2013,"cancer"
"78","26730038","Low or Ultralow Anterior Resection of Rectal Cancer Without Diverting Stoma: Experience with 28 Patients.",2013,"cancer"
"79","26730018","A Novel Surgical Technique for Thyroid Cancer with Intra-Cricotracheal Invasion: Windmill Resection and Tetris Reconstruction.",2013,"cancer"
"80","26252247","Association of Fatigue with Perceived Stress in Chinese Women with Early Stage Breast Cancer Awaiting Adjuvant Radiotherapy.",2013,"cancer"
"81","26251971","Post-traumatic Growth in the Italian Experience of Long-term Disease-free Cancer Survivors.",2013,"cancer"
"82","26248469","Fast-food and full-service restaurant consumption in relation to daily energy and nutrient intakes among US adult cancer survivors, 2003-2012.",2013,"cancer"
"83","26225002","New Management Strategies of Oral Tongue Cancer in Bangladesh.",2013,"cancer"
"84","26201324","Recent insights into hepatic cancer stem cells.",2013,"cancer"
"85","26201318","Alcohol, TLR4-TGF-β antagonism, and liver cancer.",2013,"cancer"
"86","26076051","Induction of calcium sensing receptor in human colon cancer cells by calcium, vitamin D and aquamin: Promotion of a more differentiated, less malignant and indolent phenotype.",2013,"cancer"
"87","26019945","Galectin 3 for the diagnosis of bladder cancer.",2013,"cancer"
"88","25867973","Genetic variants in matrix metalloproteinase genes as disposition factors for ovarian cancer risk, survival, and clinical outcome.",2013,"cancer"
"89","25861310","Evaluation of the protective effect of Nigella sativa extract and its primary active component thymoquinone against DMBA-induced breast cancer in female rats.",2013,"cancer"
"90","25861304","Efficacy of gefitinib or erlotinib in patients with squamous cell lung cancer.",2013,"cancer"
"91","25829709","Palliative radiotherapy in esophageal cancer.",2013,"cancer"
"92","25777974","The prognostic factors for locally advanced cervical cancer patients treated by intensity-modulated radiation therapy with concurrent chemotherapy.",2013,"cancer"
"93","28855814","Proteins are potent biomarkers to detect colon cancer progression.",2014,"cancer"
"94","25392427","The life and work of the Dumfries surgeon James Hill (1703-1776): his contributions to the management of cancer and of head injury.",2014,"cancer"
"95","27528806","Incidental biliary cystadenoma mimicking liver metastasis in a gastric cancer patient.",2014,"cancer"
"96","27511479","Initial experience with delivery of palliative care toterminal cancer patients.",2014,"cancer"
"97","27358601","An old enemy not to be forgotten during PET CT scanning of cancer patients: tuberculosis.",2014,"cancer"
"98","27357923","When the treatment stops: A qualitative study of life post breast cancer treatment.",2014,"cancer"
"99","27308449","Stromal TGFβR2 signaling: a gateway to progression for pancreatic cancer.",2014,"cancer"
"100","27158195","Cancer Stem Cells: Dynamic Entities in an Ever-Evolving Paradigm.",2014,"cancer"
"101","27141371","Prospective strategies to combine conventional, targeted and immunotherapies in non-small cell lung cancer.",2014,"cancer"
"102","27013905","Nanogels as potential nanomedicine carrier for treatment of cancer: A mini review of the state of the art.",2014,"cancer"
"103","27011619","Bladder Cancer: The Hormonal Dependence Enigma and a New Hormonal Player.",2014,"cancer"
"104","27011583","Resection of Unresectable Stage IVB Thyroid Cancer Encasing the Carotid Artery.",2014,"cancer"
"105","27011560","Robot-Assisted Radical Prostatectomy vs. Open Retropubic Radical Prostatectomy for Prostate Cancer: A Systematic Review and Meta-analysis.",2014,"cancer"
"106","27011487","Application of Oesophagogastric Cervical Mechanical Anastomosis in Oesophagectomy for Cancer.",2014,"cancer"
"107","27011485","Transanal Endoscopic Microsurgery (TEM) for Rectal Cancer: University Hospital of North Tees Experience.",2014,"cancer"
"108","27011480","Tracheotomy in Cancer Patients: Experience from a Cancer Hospital in Pakistan.",2014,"cancer"
"109","27011479","The Role of Adjuvant Hysterectomy After Radiotherapy in Cervical Cancer.",2014,"cancer"
"110","26937342","NGS meta data analysis for identification of SNP and INDEL patterns in human airway transcriptome: A preliminary indicator for lung cancer.",2014,"cancer"
"111","26863460","African-American Men with Low-Risk Prostate Cancer: Modern Treatment and Outcome Trends.",2014,"cancer"
"112","26863334","Racial-Sex Disparities--A Challenging Battle Against Cancer Mortality in the USA.",2014,"cancer"
"113","30205893","Is 11C-choline Positron Emission Tomography/Computed Tomography Accurate to Detect Nodal Relapses of Prostate Cancer After Biochemical Recurrence? A Multicentric Study Based on Pathologic Confirmation from Salvage Lymphadenectomy.",2015,"cancer"
"210","29071011","Cancer Chemopreventive Potential of Procyanidin.",2015,"cancer"
"310","28855816","Identification of novel inhibitors against Cyclin Dependent Kinase 9/Cyclin T1 complex as: Anti cancer agent.",2015,"cancer"
"410","28723535","Serum Adiponectin Predicts Cancer-specific Survival of Patients with Renal Cell Carcinoma.",2015,"cancer"
"510","28723532","Comparative Oncologic and Toxicity Outcomes of Salvage Radical Prostatectomy Versus Nonsurgical Therapies for Radiorecurrent Prostate Cancer: A Meta-Regression Analysis.",2015,"cancer"
"610","28723478","Low T-cell Receptor Diversity, High Somatic Mutation Burden, and High Neoantigen Load as Predictors of Clinical Outcome in Muscle-invasive Bladder Cancer.",2015,"cancer"
"710","28723477","Accuracy of Self-reported Smoking Exposure Among Bladder Cancer Patients Undergoing Surveillance at a Tertiary Referral Center.",2015,"cancer"
"810","28723476","Charting Recent Progress and Challenges in Metastatic Castration-resistant Prostate Cancer: Is There an Optimal Treatment Sequence?",2015,"cancer"
"910","28723475","Psychological Well-being and Private and Professional Psychosocial Support After Prostate Cancer Surgery: A Follow-up at 3, 12, and 24 Months After Surgery.",2015,"cancer"
"1010","28690385","The Use of Religious Coping Methods in a Secular Society: A Survey Study Among Cancer Patients in Sweden.",2015,"cancer"
"114","28546709","Salvage Surgery for Cervical Cancer Recurrences.",2015,"cancer"
"121","28507579","Assessment of concentrations of sTRAIL ligand and its receptors sTRAIL-R1 and sTRAIL-R2 - markers monitoring the course of the extrinsic pathway of apoptosis induction: potential application in ovarian cancer diagnostics.",2015,"cancer"
"131","28394498","Degarelix Versus Goserelin Plus Bicalutamide in the Short-Term Relief of Lower Urinary Tract Symptoms in Prostate Cancer Patients: Results of a Pooled Analysis.",2015,"cancer"
"141","28331260","Early Enteral Nutrition Versus Parenteral Nutrition After Resection of Esophageal Cancer: a Retrospective Analysis.",2015,"cancer"
"151","28223874","Towards safety of oral anti-cancer agents, the need to educate our pharmacists.",2015,"cancer"
"171","28043483","Outcome of Patients With pN2 &quot;Potentially Resectable&quot; Nonsmall Cell Lung Cancer Who Underwent Surgery After Induction Chemotherapy.",2015,"cancer"
"181","28031937","Germline genetic profiling in prostate cancer: latest developments and potential clinical applications.",2015,"cancer"
"191","28031932","Biomarkers for prostate cancer: present challenges and future opportunities.",2015,"cancer"
"201","28031929","Pharmacogenetics of cancer therapy: breakthroughs from beyond?",2015,"cancer"
"211","28031919","Features of endometrial cancer in patients with 'metabolically healthy' versus 'standard' obesity: the decreasing frequency of metabolically healthy obesity.",2015,"cancer"
"115","31741929","Proton Beam Therapy for Locally Recurrent Parotid Gland Cancer.",2016,"cancer"
"212","31255253","Expression of micrornas in molecular genetic breast cancer subtypes.",2016,"cancer"
"311","30393500","Health needs as a priority of local authorities in Poland based on the example of implementation of health policy cancer programmes.",2016,"cancer"
"411","30294231","Extreme effects of Seabuckthorn extracts on influenza viruses and human cancer cells and correlation between flavonol glycosides and biological activities of extracts.",2016,"cancer"
"511","30241188","Evidence on Effectiveness of Upper Neck Irradiation Versus Whole Neck Irradiation as Elective Neck Irradiation in Node-Negative Nasopharyngeal Cancer: A Meta-Analysis.",2016,"cancer"
"611","30154899","The utility of Leventhal's model in the analysis of the psycho-behavioral implications of familial cancer - a literature review.",2016,"cancer"
"711","30002710","2D and 3D cell cultures - a comparison of different types of cancer cell cultures.",2016,"cancer"
"811","30002700","Surgical outcome and clinicopathological characteristics of emergency presentation elective cases of colorectal cancer.",2016,"cancer"
"911","29984633","Bayesian negative-binomial-family-based multistate Markov model for the evaluation of periodic population-based cancer screening considering incomplete information and measurement errors.",2016,"cancer"
"1011","29846145","On the comparison of risk of death according to different stages of breast cancer via the long-term exponentiated Weibull hazard model.",2016,"cancer"
"116","29719459","Anticancer activity and potential mechanisms of 1C, a ginseng saponin derivative, on prostate cancer cells.",2016,"cancer"
"122","29662565","Follicular Lymphoma mimicking Metastatic Nodes on the F-18 FDG PET/CT and MRI for Staging of Endometrial Cancer.",2016,"cancer"
"132","29581686","The Charlson Comorbidity Index as an Independent Prognostic Factor in Older Colorectal Cancer Patients.",2016,"cancer"
"142","29484161","Conference report: improving outcomes for gastrointestinal cancer in the UK.",2016,"cancer"
"152","29444602","Evaluating Integrative Cancer Clinics With the Claim Assessment Profile: An Example With the InspireHealth Clinic.",2016,"cancer"
"161","29439113","Double somatic mutations in mismatch repair genes are frequent in colorectal cancer after Hodgkin's lymphoma treatment.",2016,"cancer"
"172","29404012","Stability study on an anti-cancer drug 4-(3,5-bis(2-chlorobenzylidene)-4-oxo-piperidine-1-yl)-4-oxo-2-butenoic acid (CLEFMA) using a stability-indicating HPLC method.",2016,"cancer"
"182","29372622","Women's experiences of sexual functioning in the early weeks of breast cancer treatment.",2016,"cancer"
"192","29368908","3D Hierarchical, Pyramid-Based Cancer Cell Chip for the Detection of Anticancer Drug Effects.",2016,"cancer"
"202","29368881","Targeting Therapy of Neuropilin-1 Receptors Overexpressed Breast Cancer by Paclitaxel-Loaded CK3-Conjugated Polymeric Micelles.",2016,"cancer"
"117","31741937","The Need for Completion Thyroidectomy in Cases of Differentiated Thyroid Cancer.",2017,"cancer"
"213","31395352","Poly-ADP ribosylation in DNA damage response and cancer therapy.",2017,"cancer"
"312","31386016","Biological subtypes and survival outcomes in breast cancer patients with brain metastases in the targeted therapy era.",2017,"cancer"
"412","31258360","Increased EGFR mRNA Expression Levels in Non-Small Cell Lung Cancer.",2017,"cancer"
"512","31157052","Trastuzumab infusion reactions in breast cancer. Should we routinely observe after the first dose?",2017,"cancer"
"612","31157040","Implementation of a new health information technology for the management of cancer chemotherapies.",2017,"cancer"
"712","31092995","MicroRNA-183-5p: A New Potential Marker for Prostate Cancer.",2017,"cancer"
"812","31061806","Dose escalation of external beam radiotherapy for high-risk prostate cancer-Impact of multiple high-risk factor.",2017,"cancer"
"912","30895100","Complete remission in very advanced oral cancer by docetaxel, cisplatin, 5-fluorouracil based induction chemotherapy followed by concurrent chemoradiation.",2017,"cancer"
"1012","30739946","Nanoscale Metal-Organic Frameworks for Phototherapy of Cancer.",2017,"cancer"
"118","30728671","Methods for Isolation of High Quality and Quantity of miRNA and Single Cell Suspension for Flow-Cytometry from Breast Cancer Tissue: A Comparative Analysis.",2017,"cancer"
"123","30648332","Evaluation of the Cancer Council NSW Eat It To Beat It Healthy Lunch Box Sessions: A short intervention to promote the intake of fruit and vegetables among families of primary school children in NSW Australia.",2017,"cancer"
"133","30647707","The sensitivity and efficacy method of PIK3CA exon 9 E545A as a high diagnostic accuracy in breast cancer.",2017,"cancer"
"143","30643579","Treatment for non-small-cell lung cancer and circulating tumor cells.",2017,"cancer"
"153","30643578","Spotlight on the treatment of <i>ALK</i>-rearranged non-small-cell lung cancer.",2017,"cancer"
"162","30643577","<i>NRG1</i>: a cinderella fusion in lung cancer?",2017,"cancer"
"173","30643575","Advanced squamous lung cancer: therapeutic options, future directions, unmet needs and results of a monocentric survey.",2017,"cancer"
"183","30643574","Severe intestinal ischemia during chemotherapy for small cell lung cancer.",2017,"cancer"
"193","30643573","How equitable is access to treatment for lung cancer patients? A population-based review of treatment practices in Ontario.",2017,"cancer"
"203","30595946","Cytotoxic effect of <i>Rosa canina</i> extract on human colon cancer cells through repression of telomerase expression.",2017,"cancer"
"119","32523238","NMR and MS-based Stable Isotope-Resolved Metabolomics and Applications in Cancer Metabolism.",2018,"cancer"
"214","32419934","Pharmaceutical care of patients with cancer treated on non-cancer wards in the UK: a mixed methods study.",2018,"cancer"
"313","32419740","Mapmaking and Mapthinking: Cancer as a Problem of Place in Nineteenth-century England.",2018,"cancer"
"413","32382698","Cancer in Kenya: types and infection-attributable. Data from the adult population of two National referral hospitals (2008-2012).",2018,"cancer"
"513","32392663","Site-specific cancer risk in patients with type 2 diabetes: a nationwide population-based cohort study in Korea.",2018,"cancer"
"613","32389236","Voice Quality in Laryngeal Cancer Patients: A Randomized Controlled Study of the Effect of Voice Rehabilitation.",2018,"cancer"
"713","32254094","Photonic cancer nanomedicine using the near infrared-II biowindow enabled by biocompatible titanium nitride nanoplatforms.",2018,"cancer"
"813","32254090","DePEGylation strategies to increase cancer nanomedicine efficacy.",2018,"cancer"
"913","32175019","Redox-sensitive, PEG-shielded carboxymethyl PEI nanogels silencing MicroRNA-21, sensitizes resistant ovarian cancer cells to cisplatin.",2018,"cancer"
"1013","32133137","Comparative efficacy and safety of interventions for preventing chemotherapy-induced oral mucositis in adult cancer patients: a systematic review and network meta-analysis.",2018,"cancer"
"1110","32128377","Optimizing Community and Hospital Services Using the Cancer Support Source Program.",2018,"cancer"
"124","32128371","Current State of Shared Decision-Making for CT Lung Cancer Screening and Improvement Strategies.",2018,"cancer"
"134","32104437","Folate-targeted nanostructured chitosan/chondroitin sulfate complex carriers for enhanced delivery of bortezomib to colorectal cancer cells.",2018,"cancer"
"144","32104435","Nanomaterials for modulating innate immune cells in cancer immunotherapy.",2018,"cancer"
"154","32071504","ErbB4 3'-UTR Variant (c.*3622A&gt;G) is Associated with ER/PR Negativity and Advanced Breast Cancer.",2018,"cancer"
"163","32071497","Evaluation of COMT Gene rs4680 Polymorphism as a Risk Factor for Endometrial Cancer.",2018,"cancer"
"174","32071492","Glutathione S-Transferase P1 313 (A &gt; G) Ile105Val Polymorphism Contributes to Cancer Susceptibility in Indian Population: A Meta-analysis of 39 Case-Control Studies.",2018,"cancer"
"184","32064084","The economic burden of metastatic breast cancer in Spain.",2018,"cancer"
"194","32020969","Dosimetric and isocentric variations due to patient setup errors in CT-based treatment planning for breast cancer by electronic portal imaging.",2018,"cancer"
"204","31950703","Hollow Polypyrrole Nanospindles for Highly Effective Cancer Therapy.",2018,"cancer"
"120","32588610","Changes in survival of colorectal cancer patients in Świętokrzyskie Province (Southern Poland) from the second half of the 1990s to the early 21st century - a population-based study.",2019,"cancer"
"215","32587834","Diagnostic Value of Plasma Long Non-coding RNA HOTTIP as a Non-invasive Biomarker for Colorectal Cancer (A Case- Control Study).",2019,"cancer"
"314","32582809","Proton Therapy for Locally Advanced Oropharyngeal Cancer: Initial Clinical Experience at the University of Washington.",2019,"cancer"
"414","32581645","Cell-free microRNAs as Non-invasive Diagnostic and Prognostic Bio- markers in Pancreatic Cancer.",2019,"cancer"
"514","32568485","[Microbiota, cancer and immune therapy].",2019,"cancer"
"614","32566928","Effects of different glucose concentrations on the leptin signaling pathway in MCF-7 and T47D breast cancer cells.",2019,"cancer"
"714","32566895","Risk of Second Primary Bone and Soft-Tissue Sarcomas Among Young Adulthood Cancer Survivors.",2019,"cancer"
"814","32561088","Outcomes of robotic surgery for endometrial cancer in elderly women.",2019,"cancer"
"914","32561085","Intraperitoneal hyperthermic chemotherapy after cytoreduction in patients with peritoneal metastases from endometrial cancer. The next frontier?",2019,"cancer"
"1014","32558827","Improving Classification of Breast Cancer by Utilizing the Image Pyramids of Whole-Slide Imaging and Multi-Scale Convolutional Neural Networks.",2019,"cancer"
"1111","32557307","An Empirical Investigation of Bayesian Clinical Trial Design in Metastatic Breast Cancer.",2019,"cancer"
"125","32551426","Erectile dysfunction after surgery for rectal cancer: a prospective study.",2019,"cancer"
"135","32551278","Clinical Profile and Quality of Life Assessment of Oral Cancer Patients Following Nasolabial Flap Reconstruction Surgery.",2019,"cancer"
"145","32551272","Nomogram Identifies Age as the Most Important Predictor of Overall Survival in Oral Cavity Squamous Cell Cancer After Primary Surgery.",2019,"cancer"
"155","32550946","Survivin expression starts before hepatocellular cancer development in the liver of chronic hepatitis B patients: a pilot, cross-sectional study.",2019,"cancer"
"164","32550940","Markers of metastatic colorectal cancer.",2019,"cancer"
"175","32550936","Flexible Phase I-II design for partially ordered regimens with application to therapeutic cancer vaccines.",2019,"cancer"
"185","32550218","Correction to: Exploring the bi-directional relationship between pancreatic cancer and diabetes mellitus: a retrospective study.",2019,"cancer"
"195","32549840","Lise Aschuler, ND: Current Evolution in Integrative Cancer Care.",2019,"cancer"
"205","32542094","MicroRNA-1179 regulates proliferation and chemosensitivity of human ovarian cancer cells by targeting the PTEN-mediated PI3K/AKT signaling pathway.",2019,"cancer"
"126","32593237","[Morbidity, mortality and reliability of accounting of patients of different age groups with liver cancer in Russia.]",2020,"cancer"
"216","32593236","[The first results of the analysis of the activity of the cancer service of the North-Western Federal district of the Russian Federation, conducted on the basis of the created population cancer register of the Federal district.]",2020,"cancer"
"315","32593227","Oral cancer stem cells drive tumourigenesis through activation of stromal fibroblasts.",2020,"cancer"
"415","32593194","Genome-wide profiling of circulating tumor DNA depicts landscape of copy number alterations in pancreatic cancer with liver metastasis.",2020,"cancer"
"515","32593162","Childhood cancer mortality trends in Europe, 1990-2017, with focus on geographic differences.",2020,"cancer"
"615","32593161","Change in stage of presentation of head and neck cancer in the United States before and after the affordable care act.",2020,"cancer"
"715","32593155","Exploration of gene expression profiles and immune microenvironment between high and low tumor mutation burden groups in prostate cancer.",2020,"cancer"
"815","32593129","Exosomes: Multiple-targeted multifunctional biological nanoparticles in the diagnosis, drug delivery, and imaging of cancer cells.",2020,"cancer"
"915","32593127","Integrated molecular signaling involving mitochondrial dysfunction and alteration of cell metabolism induced by tyrosine kinase inhibitors in cancer.",2020,"cancer"
"1015","32592992","Comparison of Estrogen receptors, Progesterone receptors and HER2-neu immunohistochemistry results in breast cancer with those of Oncotype Dx.",2020,"cancer"
"1112","32592986","A Phase III, randomized, double-blind, placebo-controlled, multicenter study of fruquintinib in Chinese patients with advanced nonsquamous non-small-cell lung cancer - The FALUCA study.",2020,"cancer"
"127","32592985","Clinical characteristics and prognostic factors of surgically resected combined small cell lung cancer: a retrospective study.",2020,"cancer"
"136","32592936","Bibliometric analysis of personalized humanized mouse and Drosophila models for effective combinational therapy in cancer patients.",2020,"cancer"
"146","32592934","Activation of glycogenolysis and glycolysis in breast cancer stem cell models.",2020,"cancer"
"156","32592914","Synthesis, structure and anti-cancer activity of osmium complexes bearing π-bound arene substituents and phosphane Co-Ligands: A review.",2020,"cancer"
"165","32592910","Mitomycin C-induced cell cycle arrest enhances 5-aminolevulinic acid-based photodynamic therapy for bladder cancer.",2020,"cancer"
"176","32592902","Analysis of the efficacy, safety and survival factors of stereotactic body radiation therapy in patients with recurrence of pancreatic cancer.",2020,"cancer"
